,WEEK,YEAR,MONTH,WEEK_NUMBER,DATE
0,01-21,2021,1,1,2021-01-10
1,02-21,2021,1,2,2021-01-17
2,03-21,2021,1,3,2021-01-24
3,04-21,2021,1,4,2021-01-31
4,05-21,2021,2,5,2021-02-07
5,06-21,2021,2,6,2021-02-14
6,07-21,2021,2,7,2021-02-21
7,08-21,2021,2,8,2021-02-28
8,09-21,2021,3,9,2021-03-07
9,10-21,2021,3,10,2021-03-14
10,11-21,2021,3,11,2021-03-21
11,12-21,2021,3,12,2021-03-28
12,13-21,2021,3,13,2021-04-04
13,14-21,2021,4,14,2021-04-11
14,15-21,2021,4,15,2021-04-18
15,16-21,2021,4,16,2021-04-25
16,17-21,2021,4,17,2021-05-02
17,18-21,2021,5,18,2021-05-09
18,19-21,2021,5,19,2021-05-16
19,20-21,2021,5,20,2021-05-23
20,21-21,2021,5,21,2021-05-30
21,22-21,2021,6,22,2021-06-06
22,23-21,2021,6,23,2021-06-13
23,24-21,2021,6,24,2021-06-20
24,25-21,2021,6,25,2021-06-27
25,26-21,2021,6,26,2021-07-04
26,27-21,2021,7,27,2021-07-11
27,28-21,2021,7,28,2021-07-18
28,29-21,2021,7,29,2021-07-25
29,30-21,2021,7,30,2021-08-01
30,31-21,2021,8,31,2021-08-08
31,32-21,2021,8,32,2021-08-15
32,33-21,2021,8,33,2021-08-22
33,34-21,2021,8,34,2021-08-29
34,35-21,2021,9,35,2021-09-05
35,36-21,2021,9,36,2021-09-12
36,37-21,2021,9,37,2021-09-19
37,38-21,2021,9,38,2021-09-26
38,39-21,2021,9,39,2021-10-03
39,40-21,2021,10,40,2021-10-10
40,41-21,2021,10,41,2021-10-17
41,42-21,2021,10,42,2021-10-24
42,43-21,2021,10,43,2021-10-31
43,44-21,2021,11,44,2021-11-07
44,45-21,2021,11,45,2021-11-14
45,46-21,2021,11,46,2021-11-21
46,47-21,2021,11,47,2021-11-28
47,48-21,2021,12,48,2021-12-05
48,49-21,2021,12,49,2021-12-12
49,50-21,2021,12,50,2021-12-19
50,51-21,2021,12,51,2021-12-26
51,52-21,2021,12,52,2022-01-02
52,01-22,2022,1,1,2022-01-09
53,02-22,2022,1,2,2022-01-16
54,03-22,2022,1,3,2022-01-23
55,04-22,2022,1,4,2022-01-30
56,05-22,2022,2,5,2022-02-06
57,06-22,2022,2,6,2022-02-13
58,07-22,2022,2,7,2022-02-20
59,08-22,2022,2,8,2022-02-27
60,09-22,2022,3,9,2022-03-06
61,10-22,2022,3,10,2022-03-13
62,11-22,2022,3,11,2022-03-20
63,12-22,2022,3,12,2022-03-27
64,13-22,2022,4,13,2022-04-03
65,14-22,2022,4,14,2022-04-10
66,15-22,2022,4,15,2022-04-17
67,16-22,2022,4,16,2022-04-24
68,17-22,2022,5,17,2022-05-01
69,18-22,2022,5,18,2022-05-08
70,19-22,2022,5,19,2022-05-15
71,20-22,2022,5,20,2022-05-22
72,21-22,2022,5,21,2022-05-29
73,22-22,2022,6,22,2022-06-05
74,23-22,2022,6,23,2022-06-12
75,24-22,2022,6,24,2022-06-19
76,25-22,2022,6,25,2022-06-26
77,26-22,2022,7,26,2022-07-03
78,27-22,2022,7,27,2022-07-10
79,28-22,2022,7,28,2022-07-17
80,29-22,2022,7,29,2022-07-24
81,30-22,2022,7,30,2022-07-31
82,31-22,2022,8,31,2022-08-07
83,32-22,2022,8,32,2022-08-14
